id,sentence,Group,type,condition,comma,v2,person,np1_animacy,np2_animacy,np3_animacy,np1_#,np2_#,np3_#,v1_type,v2_type,v3_type,c1_type,c2_type,v1_tense,v2_tense,v3_tense
1,The newspaper which the cat which the kid keeps stole from the convenience store was missing.,A,exp,Base,0,1,Carmen,inanimate,animate,animate,Singular,Singular,Singular,Intransitive,Transitive,Transitive,which,which,present,past,past
1,"The newspaper which the cat, which the kid keeps, stole from the convenience store was missing.",B,exp,Comma,1,1,Carmen,inanimate,animate,animate,Singular,Singular,Singular,Intransitive,Transitive,Transitive,which,which,present,past,past
1,The newspaper which the cat which the kid keeps was missing.,C,exp,MissingVBase,0,0,Carmen,inanimate,animate,animate,Singular,Singular,Singular,Intransitive,Transitive,Transitive,which,which,present,past,past
1,"The newspaper which the cat, which the kid keeps, was missing.",D,exp,MissingVComma,1,0,Carmen,inanimate,animate,animate,Singular,Singular,Singular,Intransitive,Transitive,Transitive,which,which,present,past,past
2,The coffee which the barista who the owner hired last week brewed tastes bitter.,B,exp,Base,0,1,Carmen,inanimate,animate,animate,Singular,Singular,Singular,trasitive,Transitive,intransitive,which,who,past,past,present
2,"The coffee which the barista, who the owner hired last week, brewed tastes bitter.",C,exp,Comma,1,1,Carmen,inanimate,animate,animate,Singular,Singular,Singular,trasitive,Transitive,intransitive,which,who,past,past,present
2,The coffee which the barista who the owner hired last week tastes bitter.,D,exp,MissingVBase,0,0,Carmen,inanimate,animate,animate,Singular,Singular,Singular,trasitive,,intransitive,which,who,past,,present
2,"The coffee which the barista, who the owner hired last week, tastes bitter.",A,exp,MissingVComma,1,0,Carmen,inanimate,animate,animate,Singular,Singular,Singular,trasitive,,intransitive,which,who,past,,present
3,The program which the engineer who the executive promoted created was running smoothly.,C,exp,Base,0,1,Carmen,inanimate,animate,animate,Singular,Singular,singular,trasitive,Transitive,intransitive,which,who,past,past,past
3,"The program which the engineer, who the executive promoted, created was running smoothly.",D,exp,Comma,1,1,Carmen,inanimate,animate,animate,Singular,Singular,singular,trasitive,Transitive,intransitive,which,who,past,past,past
3,The program which the engineer who the executive promoted was running smoothly.,A,exp,MissingVBase,0,0,Carmen,inanimate,animate,animate,Singular,Singular,singular,trasitive,,intransitive,which,who,past,past,past
3,"The program which the engineer, who the executive promoted, was running smoothly.",B,exp,MissingVComma,1,0,Carmen,inanimate,animate,animate,Singular,Singular,singular,trasitive,,intransitive,which,who,past,past,past
4,The ball which the dog which the woman walked chased was broken.,D,exp,Base,0,1,Carmen,inanimate,animate,animate,Singular,Singular,singular,transitive,transitive,intransitive,which,which,past,past,past
4,"The ball which the dog, which the woman walked, chased was broken.",A,exp,Comma,1,1,Carmen,inanimate,animate,animate,Singular,Singular,singular,transitive,transitive,intransitive,which,which,past,past,past
4,The ball which the dog which the woman walked was broken.,B,exp,MissingVBase,0,0,Carmen,inanimate,animate,animate,Singular,Singular,singular,transitive,,intransitive,which,which,past,,past
4,"The ball which the dog, which the woman walked, was broken.",C,exp,MissingVComma,1,0,Carmen,inanimate,animate,animate,Singular,Singular,singular,transitive,,intransitive,which,which,past,,past
5,The book which the student who the couple adopted read was thick.,A,exp,Base,0,1,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,transitive,intransitive,which,which,past,past,past
5,"The book which the student, who the couple adopted, read was thick.",B,exp,Comma,1,1,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,transitive,intransitive,which,which,past,past,past
5,The book which the student who the couple adopted was thick.,C,exp,MissingVBase,0,0,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,,intransitive,which,which,past,,past
5,"The book which the student, who the couple adopted, was thick.",D,exp,MissingVComma,1,0,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,,intransitive,which,which,past,,past
6,The dough which the baker who the caterer owed made was thrown away.,B,exp,Base,0,1,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,transitive,transitive,which,who,past,past,past passive
6,"The dough which the baker, who the caterer owed made, was thrown away.",C,exp,Comma,1,1,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,transitive,transitive,which,who,past,past,past passive
6,The dough which the baker who the caterer owed was thrown away.,D,exp,MissingVBase,0,0,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,,transitive,which,who,past,,past passive
6,"The dough which the baker, who the caterer owed, was thrown away.",A,exp,MissingVComma,1,0,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,,transitive,which,who,past,,past passive
7,The ice cream which the presenter who the professor invited bought melted.,C,exp,Base,0,1,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,transitive,intransitive,which,who,past,past,past
7,"The ice cream which the presenter, who the professor invited bought, melted.",D,exp,Comma,1,1,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,transitive,intransitive,which,who,past,past,past
7,The ice cream which the presenter who the professor invited melted.,A,exp,MissingVBase,0,0,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,,intransitive,which,who,past,,past
7,"The ice cream which the presenter, who the professor invited, melted.",B,exp,MissingVComma,1,0,Carmen,inanimate,animate,animate,singular,singular,singular,transitive,,intransitive,which,who,past,,past
8,The ball which the teacher who the parent loved owned was thrown,D,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past,past passive
8,"The ball which the teacher, who the parent loved, owned was thrown",A,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past,past passive
8,The ball which the teacher who the parent loved was thrown,B,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past,past passive
8,"The ball which the teacher, who the parent loved, owned was thrown",C,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past,past passive
9,The table which the mother who the daughter loved bought was getting old,A,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past progressive
9,The table which the mother who the daughter loved bought was getting old,B,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past progressive
9,The table which the mother who the daughter loved bought was getting old,C,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past progressive
9,The table which the mother who the daughter loved bought was getting old,D,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past progressive
10,The book which the professor who the dean had hired had written was published yesterday.,B,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past passive
10,"The book which the professor, who the dean had hired, had written was published yesterday.",C,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past passive
10,The book which the professor who the dean had hired was published yesterday.,D,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past passive
10,"The book which the professor, who the dean had hired, was published yesterday.",A,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past passive
11,The cup which the child who the fireman saved drank from spilled.,C,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
11,"The cup which the child, who the fireman saved, drank from spilled.",D,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
11,The cup which the child who the fireman saved spilled.,A,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
11,"The cup which the child, who the fireman saved, spilled.",B,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
12,The lamp which the teacher who the principal hated borrowed broke yesterday.,D,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
12,"The lamp which the teacher, who the principal hated borrowed, broke yesterday.",A,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
12,The lamp which the teacher who the principal hated borrowed yesterday.,B,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
12,"The lamp which the teacher, who the principal hated borrowed, yesterday.",C,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
13,The treehouse which the father who the mother married had painted was rebuilt.,A,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
13,"The treehouse which the father, who the mother married had painted, was rebuilt.",B,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
13,The treehouse which the father who the mother married was rebuilt.,C,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
13,"The treehouse which the father, who the mother married, was rebuilt.",D,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
14,The campfire which the scout who the lieutenant dispatched built roared brightly.,B,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
14,"The campfire which the scout, who the lieutenant dispatched built, roared brightly.",C,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
14,The campfire which the scout who the lieutenant dispatched built brightly.,D,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
14,"The campfire which the scout, who the lieutenant dispatched built, brightly.",A,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past,past,past
15,The birdfeeder which the gardener who the groundskeeper had hired had put up fell down,C,exp,Base,0,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past perfect,past perfect,past
15,"The birdfeeder which the gardener, who the groundskeeper had hired, had put up fell down",D,exp,Comma,1,1,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past perfect,past perfect,past
15,The birdfeeder which the gardener who the groundskeeper had hired fell down,A,exp,MissingVBase,0,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past perfect,past perfect,past
15,"The birdfeeder which the gardener, who the groundskeeper had hired, fell down",B,exp,MissingVComma,1,0,Jackson,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Intransitive,which,who,past perfect,past perfect,past
16,The evidence which the attorney who the defendant had hired had collected thoughtfully was considered by the judge.,D,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
16,"The evidence which the attorney, who the defendant had hired, had collected thoughtfully was considered by the judge.",A,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
16,The evidence which the attorney who the defendant had hired was considered by the judge.,B,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
16,"The evidence which the attorney, who the defendant had hired, was considered by the judge.",C,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
17,The coffee which the Uber driver who the tourists from Canada had called had bought in the morning spilled on the seat accidentally.,A,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past_passive
17,"The coffee which the Uber driver, who the tourists from Canada had called, had bought in the morning spilled on the seat accidentally.",B,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past_passive
17,The coffee which the Uber driver who the tourists from Canada had called spilled on the seat accidentally.,C,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past_passive
17,"The coffee which the Uber driver, who the tourists from Canada had called, spilled on the seat accidentally.",D,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past_passive
18,The restaurant which the helpful plumber who the neighbor had encountered had recommended shut down due to insufficient supply.,B,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past
18,"The restaurant which the helpful plumber, who the neighbor had encountered, had recommended shut down due to insufficient supply.",C,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past
18,The restaurant which the helpful plumber who the neighbor had encountered shut down due to insufficient supply.,D,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past
18,"The restaurant which the helpful plumber, who the neighbor had encountered, shut down due to insufficient supply.",A,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past perfect,past perfect,past
19,The starship which the pretentious politician who the businessman had publicly endorsed had bought was unable to take off.,C,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
19,"The starship which the pretentious politician, who the businessman had publicly endorsed, had bought was unable to take off.",D,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
19,The starship which the pretentious politician who the businessman had publicly endorsed was unable to take off.,A,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
19,"The starship which the pretentious politician, who the businessman had publicly endorsed, was unable to take off.",B,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
20,The dream which the carpenter who the Human Resources department had fired had had for years was finally realized.,D,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
20,"The dream which the carpenter, who the Human Resources department had fired, had had for years was finally realized.",A,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
20,The dream which the carpenter who the Human Resources department had fired was finally realized.,B,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
20,"The dream which the carpenter, who the Human Resources department had fired, was finally realized.",C,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past perfect,past perfect,past_passive
21,The trace which the big python which the Wildlife Service had been tracking had left in the forest was covered by maple leaves.,A,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,which,past perfect,past imperfect,past_passive
21,"The trace which the big python, which the Wildlife Service had been tracking, had left in the forest was covered by maple leaves.",B,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,which,past perfect,past imperfect,past_passive
21,The trace which the big python which the Wildlife Service had been tracking was covered by maple leaves.,C,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,which,past perfect,past imperfect,past_passive
21,"The trace which the big python, which the Wildlife Service had been tracking, was covered by maple leaves.",D,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,which,past perfect,past imperfect,past_passive
22,The basil which the head chef who the party host had invited had grown carefully turned out to be very fragrant.,B,exp,Base,0,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
22,"The basil which the head chef, who the party host had invited, had grown carefully turned out to be very fragrant.",C,exp,Comma,1,1,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
22,The basil which the head chef who the party host had invited turned out to be very fragrant.,D,exp,MissingVBase,0,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
22,"The basil which the head chef, who the party host had invited, turned out to be very fragrant.",A,exp,MissingVComma,1,0,Matthew,inanimate,animate,animate,Singular,Singular,Singular,Transitive,Transitive,complex,which,who,past perfect,past perfect,past
23,The vase which the criminal who the man sued in court had stolen from the museum was returned.,C,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
23,"The vase, which the criminal who the man sued in court had stolen from the museum, was returned.",D,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
23,The vase which the criminal who the man sued in court was returned.,A,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
23,"The vase, which the criminal who the man sued in court, was returned.",B,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past passive
24,The meal which the chef who the critic adored had prepared for the contest won a prize.,D,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past
24,"The meal, which the chef who the critic adored had prepared for the contest, won a prize.",A,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past
24,The meal which the chef who the critic adored won a prize.,B,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past
24,"The meal, which the chef who the critic adored, won a prize.",C,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Transitive,which,who,past,past perfect,past
25,The mansion which the agent who the billionaire consulted had just recommended exploded.,A,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past ,past perfect,past
25,"The mansion, which the agent who the billionaire consulted had just recommended, exploded.",B,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past ,past perfect,past
25,The mansion which the agent who the billionaire consulted exploded.,C,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past ,past perfect,past
25,"The mansion, which the agent who the billionaire consulted, exploded.",D,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,Unaccusative,which,who,past ,past perfect,past
26,The nut which the squirrel which the student photographed buried for the winter grew into a tree.,B,exp,Base,0,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,which,past ,past,past
26,"The nut, which the squirrel which the student photographed buried for the winter, grew into a tree.",C,exp,Comma,1,1,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,which,past ,past,past
26,The nut which the squirrel which the student photographed grew into a tree.,D,exp,MissingVBase,0,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,which,past ,past,past
26,"The nut, which the squirrel which the student photographed, grew into a tree.",A,exp,MissingVComma,1,0,Will,Inanimate,Animate,Animate,Singular,Singular,Singular,Transitive,Transitive,PP complement,which,which,past ,past,past
